country,country_code,medal_type,date_of_medal,gender,sport,event
China,CHN,Bronze,8/8/2024,Female,Wrestling,Women's Freestyle 53kg
Canada,CAN,Gold,8/9/2024,Male,Athletics,Men's 4 x 100m Relay
South Africa,RSA,Silver,8/9/2024,Male,Athletics,Men's 4 x 100m Relay
Great Britain,GBR,Bronze,8/9/2024,Male,Athletics,Men's 4 x 100m Relay
United States,USA,Gold,8/9/2024,Male,Athletics,Men's 400m Hurdles
Norway,NOR,Silver,8/9/2024,Male,Athletics,Men's 400m Hurdles
Brazil,BRA,Bronze,8/9/2024,Male,Athletics,Men's 400m Hurdles
Spain,ESP,Gold,8/9/2024,Male,Athletics,Men's Triple Jump
Portugal,POR,Silver,8/9/2024,Male,Athletics,Men's Triple Jump
Italy,ITA,Bronze,8/9/2024,Male,Athletics,Men's Triple Jump
Kenya,KEN,Gold,8/9/2024,Female,Athletics,"Women's 10,000m"
Italy,ITA,Silver,8/9/2024,Female,Athletics,"Women's 10,000m"
Netherlands,NED,Bronze,8/9/2024,Female,Athletics,"Women's 10,000m"
United States,USA,Gold,8/9/2024,Female,Athletics,Women's 4 x 100m Relay
Great Britain,GBR,Silver,8/9/2024,Female,Athletics,Women's 4 x 100m Relay
Germany,GER,Bronze,8/9/2024,Female,Athletics,Women's 4 x 100m Relay
Dominican Republic,DOM,Gold,8/9/2024,Female,Athletics,Women's 400m
Bahrain,BRN,Silver,8/9/2024,Female,Athletics,Women's 400m
Poland,POL,Bronze,8/9/2024,Female,Athletics,Women's 400m
Germany,GER,Gold,8/9/2024,Female,Athletics,Women's Shot Put
New Zealand,NZL,Silver,8/9/2024,Female,Athletics,Women's Shot Put
China,CHN,Bronze,8/9/2024,Female,Athletics,Women's Shot Put
Brazil,BRA,Gold,8/9/2024,Female,Beach Volleyball,Women
Canada,CAN,Silver,8/9/2024,Female,Beach Volleyball,Women
Switzerland,SUI,Bronze,8/9/2024,Female,Beach Volleyball,Women
Uzbekistan,UZB,Gold,8/9/2024,Male,Boxing,Men's 71kg
Mexico,MEX,Silver,8/9/2024,Male,Boxing,Men's 71kg
Uzbekistan,UZB,Gold,8/9/2024,Male,Boxing,Men's 92kg
Azerbaijan,AZE,Silver,8/9/2024,Male,Boxing,Men's 92kg
China,CHN,Gold,8/9/2024,Female,Boxing,Women's 50kg
Turkiye,TUR,Silver,8/9/2024,Female,Boxing,Women's 50kg
Algeria,ALG,Gold,8/9/2024,Female,Boxing,Women's 66kg
China,CHN,Silver,8/9/2024,Female,Boxing,Women's 66kg
Japan,JPN,Gold,8/9/2024,Female,Breaking,B-Girls
Lithuania,LTU,Silver,8/9/2024,Female,Breaking,B-Girls
China,CHN,Bronze,8/9/2024,Female,Breaking,B-Girls
Czechia,CZE,Gold,8/9/2024,Male,Canoe Sprint,Men's Canoe Single 1000m
Brazil,BRA,Silver,8/9/2024,Male,Canoe Sprint,Men's Canoe Single 1000m
Republic of Moldova,MDA,Bronze,8/9/2024,Male,Canoe Sprint,Men's Canoe Single 1000m
Germany,GER,Gold,8/9/2024,Male,Canoe Sprint,Men's Kayak Double 500m
Hungary,HUN,Silver,8/9/2024,Male,Canoe Sprint,Men's Kayak Double 500m
Australia,AUS,Bronze,8/9/2024,Male,Canoe Sprint,Men's Kayak Double 500m
China,CHN,Gold,8/9/2024,Female,Canoe Sprint,Women's Canoe Double 500m
Ukraine,UKR,Silver,8/9/2024,Female,Canoe Sprint,Women's Canoe Double 500m
Canada,CAN,Bronze,8/9/2024,Female,Canoe Sprint,Women's Canoe Double 500m
New Zealand,NZL,Gold,8/9/2024,Female,Canoe Sprint,Women's Kayak Double 500m
Hungary,HUN,Silver,8/9/2024,Female,Canoe Sprint,Women's Kayak Double 500m
Germany,GER,Bronze,8/9/2024,Female,Canoe Sprint,Women's Kayak Double 500m
Hungary,HUN,Bronze,8/9/2024,Female,Canoe Sprint,Women's Kayak Double 500m
Netherlands,NED,Gold,8/9/2024,Male,Cycling Track,Men's Sprint
Australia,AUS,Silver,8/9/2024,Male,Cycling Track,Men's Sprint
Great Britain,GBR,Bronze,8/9/2024,Male,Cycling Track,Men's Sprint
Italy,ITA,Gold,8/9/2024,Female,Cycling Track,Women's Madison
Great Britain,GBR,Silver,8/9/2024,Female,Cycling Track,Women's Madison
Netherlands,NED,Bronze,8/9/2024,Female,Cycling Track,Women's Madison
China,CHN,Gold,8/9/2024,Female,Diving,Women's 3m Springboard
Australia,AUS,Silver,8/9/2024,Female,Diving,Women's 3m Springboard
China,CHN,Bronze,8/9/2024,Female,Diving,Women's 3m Springboard
Spain,ESP,Gold,8/9/2024,Male,Football,Men
France,FRA,Silver,8/9/2024,Male,Football,Men
Germany,GER,Bronze,8/9/2024,Female,Football,Women
Netherlands,NED,Gold,8/9/2024,Female,Hockey,Women
China,CHN,Silver,8/9/2024,Female,Hockey,Women
Argentina,ARG,Bronze,8/9/2024,Female,Hockey,Women
Hungary,HUN,Gold,8/9/2024,Male,Marathon Swimming,Men's 10km
Germany,GER,Silver,8/9/2024,Male,Marathon Swimming,Men's 10km
Hungary,HUN,Bronze,8/9/2024,Male,Marathon Swimming,Men's 10km
Austria,AUT,Gold,8/9/2024,Male,Sailing,Men's Kite
Slovenia,SLO,Silver,8/9/2024,Male,Sailing,Men's Kite
Singapore,SGP,Bronze,8/9/2024,Male,Sailing,Men's Kite
Great Britain,GBR,Gold,8/9/2024,Male,Sport Climbing,Men's Boulder & Lead
Japan,JPN,Silver,8/9/2024,Male,Sport Climbing,Men's Boulder & Lead
Austria,AUT,Bronze,8/9/2024,Male,Sport Climbing,Men's Boulder & Lead
China,CHN,Gold,8/9/2024,Male,Table Tennis,Men's Team
Sweden,SWE,Silver,8/9/2024,Male,Table Tennis,Men's Team
France,FRA,Bronze,8/9/2024,Male,Table Tennis,Men's Team
Tunisia,TUN,Gold,8/9/2024,Male,Taekwondo,Men -80kg
IR Iran,IRI,Silver,8/9/2024,Male,Taekwondo,Men -80kg
Italy,ITA,Bronze,8/9/2024,Male,Taekwondo,Men -80kg
Denmark,DEN,Bronze,8/9/2024,Male,Taekwondo,Men -80kg
Hungary,HUN,Gold,8/9/2024,Female,Taekwondo,Women -67kg
Serbia,SRB,Silver,8/9/2024,Female,Taekwondo,Women -67kg
United States,USA,Bronze,8/9/2024,Female,Taekwondo,Women -67kg
Belgium,BEL,Bronze,8/9/2024,Female,Taekwondo,Women -67kg
United States,USA,Bronze,8/9/2024,Male,Volleyball,Men
Bulgaria,BUL,Gold,8/9/2024,Male,Weightlifting,Men's 89kg
Colombia,COL,Silver,8/9/2024,Male,Weightlifting,Men's 89kg
Italy,ITA,Bronze,8/9/2024,Male,Weightlifting,Men's 89kg
United States,USA,Gold,8/9/2024,Female,Weightlifting,Women's 71kg
Colombia,COL,Silver,8/9/2024,Female,Weightlifting,Women's 71kg
Ecuador,ECU,Bronze,8/9/2024,Female,Weightlifting,Women's 71kg
Japan,JPN,Gold,8/9/2024,Male,Wrestling,Men's Freestyle 57kg
United States,USA,Silver,8/9/2024,Male,Wrestling,Men's Freestyle 57kg
India,IND,Bronze,8/9/2024,Male,Wrestling,Men's Freestyle 57kg
Uzbekistan,UZB,Bronze,8/9/2024,Male,Wrestling,Men's Freestyle 57kg
Bulgaria,BUL,Gold,8/9/2024,Male,Wrestling,Men's Freestyle 86kg
IR Iran,IRI,Silver,8/9/2024,Male,Wrestling,Men's Freestyle 86kg
United States,USA,Bronze,8/9/2024,Male,Wrestling,Men's Freestyle 86kg
Greece,GRE,Bronze,8/9/2024,Male,Wrestling,Men's Freestyle 86kg
Japan,JPN,Gold,8/9/2024,Female,Wrestling,Women's Freestyle 57kg
Republic of Moldova,MDA,Silver,8/9/2024,Female,Wrestling,Women's Freestyle 57kg
United States,USA,Bronze,8/9/2024,Female,Wrestling,Women's Freestyle 57kg
China,CHN,Bronze,8/9/2024,Female,Wrestling,Women's Freestyle 57kg
China,CHN,Gold,8/10/2024,Female,Artistic Swimming,Duet
Great Britain,GBR,Silver,8/10/2024,Female,Artistic Swimming,Duet
Netherlands,NED,Bronze,8/10/2024,Female,Artistic Swimming,Duet
United States,USA,Gold,8/10/2024,Male,Athletics,Men's 4 x 400m Relay
Botswana,BOT,Silver,8/10/2024,Male,Athletics,Men's 4 x 400m Relay
Great Britain,GBR,Bronze,8/10/2024,Male,Athletics,Men's 4 x 400m Relay
Norway,NOR,Gold,8/10/2024,Male,Athletics,Men's 5000m
Kenya,KEN,Silver,8/10/2024,Male,Athletics,Men's 5000m
United States,USA,Bronze,8/10/2024,Male,Athletics,Men's 5000m
Kenya,KEN,Gold,8/10/2024,Male,Athletics,Men's 800m
Canada,CAN,Silver,8/10/2024,Male,Athletics,Men's 800m
Algeria,ALG,Bronze,8/10/2024,Male,Athletics,Men's 800m
New Zealand,NZL,Gold,8/10/2024,Male,Athletics,Men's High Jump
United States,USA,Silver,8/10/2024,Male,Athletics,Men's High Jump
Qatar,QAT,Bronze,8/10/2024,Male,Athletics,Men's High Jump
Ethiopia,ETH,Gold,8/10/2024,Male,Athletics,Men's Marathon
Belgium,BEL,Silver,8/10/2024,Male,Athletics,Men's Marathon
Kenya,KEN,Bronze,8/10/2024,Male,Athletics,Men's Marathon
United States,USA,Gold,8/10/2024,Female,Athletics,Women's 100m Hurdles
France,FRA,Silver,8/10/2024,Female,Athletics,Women's 100m Hurdles
Puerto Rico,PUR,Bronze,8/10/2024,Female,Athletics,Women's 100m Hurdles
Kenya,KEN,Gold,8/10/2024,Female,Athletics,Women's 1500m
Australia,AUS,Silver,8/10/2024,Female,Athletics,Women's 1500m
Great Britain,GBR,Bronze,8/10/2024,Female,Athletics,Women's 1500m
United States,USA,Gold,8/10/2024,Female,Athletics,Women's 4 x 400m Relay
Netherlands,NED,Silver,8/10/2024,Female,Athletics,Women's 4 x 400m Relay
Great Britain,GBR,Bronze,8/10/2024,Female,Athletics,Women's 4 x 400m Relay
Japan,JPN,Gold,8/10/2024,Female,Athletics,Women's Javelin Throw
South Africa,RSA,Silver,8/10/2024,Female,Athletics,Women's Javelin Throw
Czechia,CZE,Bronze,8/10/2024,Female,Athletics,Women's Javelin Throw
United States,USA,Gold,8/10/2024,Male,Basketball,Men
France,FRA,Silver,8/10/2024,Male,Basketball,Men
Serbia,SRB,Bronze,8/10/2024,Male,Basketball,Men
Sweden,SWE,Gold,8/10/2024,Male,Beach Volleyball,Men
Germany,GER,Silver,8/10/2024,Male,Beach Volleyball,Men
Norway,NOR,Bronze,8/10/2024,Male,Beach Volleyball,Men
Uzbekistan,UZB,Gold,8/10/2024,Male,Boxing,Men's +92kg
Spain,ESP,Silver,8/10/2024,Male,Boxing,Men's +92kg
Uzbekistan,UZB,Gold,8/10/2024,Male,Boxing,Men's 57kg
Kyrgyzstan,KGZ,Silver,8/10/2024,Male,Boxing,Men's 57kg
Chinese Taipei,TPE,Gold,8/10/2024,Female,Boxing,Women's 57kg
Poland,POL,Silver,8/10/2024,Female,Boxing,Women's 57kg
China,CHN,Gold,8/10/2024,Female,Boxing,Women's 75kg
Panama,PAN,Silver,8/10/2024,Female,Boxing,Women's 75kg
Canada,CAN,Gold,8/10/2024,Male,Breaking,B-Boys
France,FRA,Silver,8/10/2024,Male,Breaking,B-Boys
United States,USA,Bronze,8/10/2024,Male,Breaking,B-Boys
Czechia,CZE,Gold,8/10/2024,Male,Canoe Sprint,Men's Kayak Single 1000m
Hungary,HUN,Silver,8/10/2024,Male,Canoe Sprint,Men's Kayak Single 1000m
Hungary,HUN,Bronze,8/10/2024,Male,Canoe Sprint,Men's Kayak Single 1000m
Canada,CAN,Gold,8/10/2024,Female,Canoe Sprint,Women's Canoe Single 200m
United States,USA,Silver,8/10/2024,Female,Canoe Sprint,Women's Canoe Single 200m
Cuba,CUB,Bronze,8/10/2024,Female,Canoe Sprint,Women's Canoe Single 200m
New Zealand,NZL,Gold,8/10/2024,Female,Canoe Sprint,Women's Kayak Single 500m
Hungary,HUN,Silver,8/10/2024,Female,Canoe Sprint,Women's Kayak Single 500m
Denmark,DEN,Bronze,8/10/2024,Female,Canoe Sprint,Women's Kayak Single 500m
Portugal,POR,Gold,8/10/2024,Male,Cycling Track,Men's Madison
Italy,ITA,Silver,8/10/2024,Male,Cycling Track,Men's Madison
Denmark,DEN,Bronze,8/10/2024,Male,Cycling Track,Men's Madison
China,CHN,Gold,8/10/2024,Male,Diving,Men's 10m Platform
Japan,JPN,Silver,8/10/2024,Male,Diving,Men's 10m Platform
Great Britain,GBR,Bronze,8/10/2024,Male,Diving,Men's 10m Platform
United States,USA,Gold,8/10/2024,Female,Football,Women
Brazil,BRA,Silver,8/10/2024,Female,Football,Women
New Zealand,NZL,Gold,8/10/2024,Female,Golf,Women's Individual Stroke Play
Germany,GER,Silver,8/10/2024,Female,Golf,Women's Individual Stroke Play
China,CHN,Bronze,8/10/2024,Female,Golf,Women's Individual Stroke Play
Norway,NOR,Gold,8/10/2024,Female,Handball,Women
France,FRA,Silver,8/10/2024,Female,Handball,Women
Denmark,DEN,Bronze,8/10/2024,Female,Handball,Women
Egypt,EGY,Gold,8/10/2024,Male,Modern Pentathlon,Men's Individual
Japan,JPN,Silver,8/10/2024,Male,Modern Pentathlon,Men's Individual
Italy,ITA,Bronze,8/10/2024,Male,Modern Pentathlon,Men's Individual
Slovenia,SLO,Gold,8/10/2024,Female,Sport Climbing,Women's Boulder & Lead
United States,USA,Silver,8/10/2024,Female,Sport Climbing,Women's Boulder & Lead
Austria,AUT,Bronze,8/10/2024,Female,Sport Climbing,Women's Boulder & Lead
China,CHN,Gold,8/10/2024,Female,Table Tennis,Women's Team
Japan,JPN,Silver,8/10/2024,Female,Table Tennis,Women's Team
Korea,KOR,Bronze,8/10/2024,Female,Table Tennis,Women's Team
IR Iran,IRI,Gold,8/10/2024,Male,Taekwondo,Men +80kg
Great Britain,GBR,Silver,8/10/2024,Male,Taekwondo,Men +80kg
Cuba,CUB,Bronze,8/10/2024,Male,Taekwondo,Men +80kg
Cote d'Ivoire,CIV,Bronze,8/10/2024,Male,Taekwondo,Men +80kg
France,FRA,Gold,8/10/2024,Female,Taekwondo,Women +67kg
Uzbekistan,UZB,Silver,8/10/2024,Female,Taekwondo,Women +67kg
Korea,KOR,Bronze,8/10/2024,Female,Taekwondo,Women +67kg
Turkiye,TUR,Bronze,8/10/2024,Female,Taekwondo,Women +67kg
France,FRA,Gold,8/10/2024,Male,Volleyball,Men
Poland,POL,Silver,8/10/2024,Male,Volleyball,Men
Brazil,BRA,Bronze,8/10/2024,Female,Volleyball,Women
Spain,ESP,Gold,8/10/2024,Female,Water Polo,Women
Australia,AUS,Silver,8/10/2024,Female,Water Polo,Women
Netherlands,NED,Bronze,8/10/2024,Female,Water Polo,Women
Georgia,GEO,Gold,8/10/2024,Male,Weightlifting,Men's +102kg
Armenia,ARM,Silver,8/10/2024,Male,Weightlifting,Men's +102kg
Bahrain,BRN,Bronze,8/10/2024,Male,Weightlifting,Men's +102kg
China,CHN,Gold,8/10/2024,Male,Weightlifting,Men's 102kg
Uzbekistan,UZB,Silver,8/10/2024,Male,Weightlifting,Men's 102kg
AIN,AIN,Bronze,8/10/2024,Male,Weightlifting,Men's 102kg
Norway,NOR,Gold,8/10/2024,Female,Weightlifting,Women's 81kg
Egypt,EGY,Silver,8/10/2024,Female,Weightlifting,Women's 81kg
Ecuador,ECU,Bronze,8/10/2024,Female,Weightlifting,Women's 81kg
Georgia,GEO,Gold,8/10/2024,Male,Wrestling,Men's Freestyle 125kg
IR Iran,IRI,Silver,8/10/2024,Male,Wrestling,Men's Freestyle 125kg
Turkiye,TUR,Bronze,8/10/2024,Male,Wrestling,Men's Freestyle 125kg
Azerbaijan,AZE,Bronze,8/10/2024,Male,Wrestling,Men's Freestyle 125kg
Uzbekistan,UZB,Gold,8/10/2024,Male,Wrestling,Men's Freestyle 74kg
Japan,JPN,Silver,8/10/2024,Male,Wrestling,Men's Freestyle 74kg
United States,USA,Bronze,8/10/2024,Male,Wrestling,Men's Freestyle 74kg
Albania,ALB,Bronze,8/10/2024,Male,Wrestling,Men's Freestyle 74kg
Japan,JPN,Gold,8/10/2024,Female,Wrestling,Women's Freestyle 62kg
Ukraine,UKR,Silver,8/10/2024,Female,Wrestling,Women's Freestyle 62kg
Kyrgyzstan,KGZ,Bronze,8/10/2024,Female,Wrestling,Women's Freestyle 62kg
Norway,NOR,Bronze,8/10/2024,Female,Wrestling,Women's Freestyle 62kg
Netherlands,NED,Gold,8/11/2024,Female,Athletics,Women's Marathon
Ethiopia,ETH,Silver,8/11/2024,Female,Athletics,Women's Marathon
Kenya,KEN,Bronze,8/11/2024,Female,Athletics,Women's Marathon
United States,USA,Gold,8/11/2024,Female,Basketball,Women
France,FRA,Silver,8/11/2024,Female,Basketball,Women
Australia,AUS,Bronze,8/11/2024,Female,Basketball,Women
Netherlands,NED,Gold,8/11/2024,Male,Cycling Track,Men's Keirin
Australia,AUS,Silver,8/11/2024,Male,Cycling Track,Men's Keirin
Australia,AUS,Bronze,8/11/2024,Male,Cycling Track,Men's Keirin
United States,USA,Gold,8/11/2024,Female,Cycling Track,Women's Omnium
Poland,POL,Silver,8/11/2024,Female,Cycling Track,Women's Omnium
New Zealand,NZL,Bronze,8/11/2024,Female,Cycling Track,Women's Omnium
New Zealand,NZL,Gold,8/11/2024,Female,Cycling Track,Women's Sprint
Germany,GER,Silver,8/11/2024,Female,Cycling Track,Women's Sprint
Great Britain,GBR,Bronze,8/11/2024,Female,Cycling Track,Women's Sprint
Denmark,DEN,Gold,8/11/2024,Male,Handball,Men
Germany,GER,Silver,8/11/2024,Male,Handball,Men
Spain,ESP,Bronze,8/11/2024,Male,Handball,Men
Hungary,HUN,Gold,8/11/2024,Female,Modern Pentathlon,Women's Individual
France,FRA,Silver,8/11/2024,Female,Modern Pentathlon,Women's Individual
Korea,KOR,Bronze,8/11/2024,Female,Modern Pentathlon,Women's Individual
Italy,ITA,Gold,8/11/2024,Female,Volleyball,Women
United States,USA,Silver,8/11/2024,Female,Volleyball,Women
Serbia,SRB,Gold,8/11/2024,Male,Water Polo,Men
Croatia,CRO,Silver,8/11/2024,Male,Water Polo,Men
United States,USA,Bronze,8/11/2024,Male,Water Polo,Men
China,CHN,Gold,8/11/2024,Female,Weightlifting,Women's +81kg
Korea,KOR,Silver,8/11/2024,Female,Weightlifting,Women's +81kg
Great Britain,GBR,Bronze,8/11/2024,Female,Weightlifting,Women's +81kg
Japan,JPN,Gold,8/11/2024,Male,Wrestling,Men's Freestyle 65kg
IR Iran,IRI,Silver,8/11/2024,Male,Wrestling,Men's Freestyle 65kg
Puerto Rico,PUR,Bronze,8/11/2024,Male,Wrestling,Men's Freestyle 65kg
Albania,ALB,Bronze,8/11/2024,Male,Wrestling,Men's Freestyle 65kg
Bahrain,BRN,Gold,8/11/2024,Male,Wrestling,Men's Freestyle 97kg
Georgia,GEO,Silver,8/11/2024,Male,Wrestling,Men's Freestyle 97kg
Azerbaijan,AZE,Bronze,8/11/2024,Male,Wrestling,Men's Freestyle 97kg
IR Iran,IRI,Bronze,8/11/2024,Male,Wrestling,Men's Freestyle 97kg
Japan,JPN,Gold,8/11/2024,Female,Wrestling,Women's Freestyle 76kg
United States,USA,Silver,8/11/2024,Female,Wrestling,Women's Freestyle 76kg
Cuba,CUB,Bronze,8/11/2024,Female,Wrestling,Women's Freestyle 76kg
Colombia,COL,Bronze,8/11/2024,Female,Wrestling,Women's Freestyle 76kg
China,CHN,Gold,8/10/2024,Female,Rhythmic Gymnastics,Group All-Around
Israel,ISR,Silver,8/10/2024,Female,Rhythmic Gymnastics,Group All-Around
Italy,ITA,Bronze,8/10/2024,Female,Rhythmic Gymnastics,Group All-Around
Germany,GER,Gold,8/9/2024,Female,Rhythmic Gymnastics,Individual All-Around
Bulgaria,BUL,Silver,8/9/2024,Female,Rhythmic Gymnastics,Individual All-Around
Italy,ITA,Bronze,8/9/2024,Female,Rhythmic Gymnastics,Individual All-Around
Belgium,BEL,Gold,8/9/2024,Female,Athletics,Women's Heptathlon
Great Britain,GBR,Silver,8/9/2024,Female,Athletics,Women's Heptathlon
Belgium,BEL,Bronze,8/9/2024,Female,Athletics,Women's Heptathlon
